Scenario;Replication;OrderFillRate;OrdersS1;OrdersS2;OrdersS3;AvarageLeadTime;AvarageQInStock;Costs;NumberBackordered
Scenario1;100;92,5925925925926;23;2;0;183,225434262938;536,324110410043;484000;5,94596328623867
Scenario10;1;88,6524822695035;0;22;4;179,900207947762;481,189122398285;432000;11,0085009281307
Scenario10;2;88,2758620689655;0;24;3;183,483130691012;487,22767311953;444000;9,56871328650506
Scenario10;3;90,9090909090909;0;19;1;181,817302563906;516,126323776448;324000;4,55132190156736
Scenario10;4;84,0579710144928;0;23;3;200,109193378483;480,760417775687;428000;21,6198806594321
Scenario10;5;96,7479674796748;0;21;2;182,031548758285;550,029379403578;376000;1,77889767324623
Scenario10;6;93,2773109243697;0;21;1;175,388173745102;518,943050830574;340000;7,74951592347516
Scenario10;7;95,2;0;22;1;177,215166039263;541,1598531211;372000;3,95494744168132
Scenario10;8;91,9354838709677;0;21;1;188,151100394036;518,268219570649;356000;6,25011383621519
Scenario10;9;88,28125;0;20;3;178,384151930307;486,906174084791;380000;12,3466004840057
Scenario10;10;91,4529914529915;0;19;2;180,46922717931;479,184290910443;344000;11,4438111516049
Scenario10;11;85,5072463768116;0;23;3;184,230083464889;481,979304655509;408000;16,985050324018
Scenario10;12;95,0980392156863;0;19;0;176,613103854491;508,494620846997;288000;4,86656292214354
Scenario10;13;93,7984496124031;0;22;1;181,812864751477;517,627724665209;372000;4,77650901287004
Scenario10;14;93,0769230769231;0;21;3;191,294140556296;509,957777872992;396000;6,40801059283106
Scenario10;15;86,6666666666667;0;21;4;189,133732876269;454,027717465519;400000;15,3434392388424
Scenario10;16;88,1118881118881;0;23;3;186,681208533983;503,564715169871;412000;14,8640702001517
Scenario10;17;89,9159663865546;0;20;2;208,642279965473;466,430571576327;360000;15,5188638893449
Scenario10;18;90,7407407407407;0;19;1;172,470509002811;537,64947784149;324000;4,33625048710627
Scenario10;19;91,7910447761194;0;22;3;184,769919844506;497,925913850524;412000;9,40250701857673
Scenario10;20;90,2255639097744;0;23;2;173,332937025627;509,029055585832;408000;7,40877148476527
Scenario10;21;93,8461538461538;0;22;2;191,808128405004;489,841793817207;392000;7,16953014853703
Scenario10;22;91,5384615384615;0;21;3;176,753545568693;515,443403310028;376000;11,3596344121003
Scenario10;23;86,8852459016393;0;20;2;186,752400115533;467,942887237457;360000;10,4395919532042
Scenario10;24;90,5109489051095;0;22;3;184,810457182416;518,534301868739;412000;9,72070537764295
Scenario10;25;93,0232558139535;0;22;2;176,396601479525;510,12424668776;392000;4,75965064360159
Scenario10;26;91,5492957746479;0;23;3;179,142737049099;535,236590133629;412000;7,64478359804311
Scenario10;27;92,741935483871;0;22;0;164,144102091945;528,311496926012;352000;3,04829306125663
Scenario10;28;85,8208955223881;0;22;2;187,217145812637;464,494053790764;392000;19,5129244628539
Scenario10;29;92,1875;0;21;3;167,293104893604;497,621064746267;376000;7,97925865493614
Scenario10;30;89,7435897435898;0;19;2;181,73393418091;510,9261176035;344000;8,23470818850201
Scenario10;31;93,1297709923664;0;23;1;162,935157173107;497,904808138042;372000;3,46447335533952
Scenario10;32;89,051094890511;0;23;2;182,023096746914;518,773874534509;408000;11,3308390393365
Scenario10;33;89,6296296296296;0;22;2;186,752956947294;480,320690800292;392000;18,0215985160321
Scenario10;34;91,1290322580645;0;22;1;182,380170945689;472,544564872729;372000;8,25000918371174
Scenario10;35;89,041095890411;0;23;4;195,570387592475;471,487262544264;448000;16,0858341074143
Scenario10;36;91,4529914529915;0;19;2;184,855932787829;527,09602670411;344000;3,60837525411055
Scenario10;37;87,9310344827586;0;21;1;193,477539017373;481,988504134707;356000;13,6539724322153
Scenario10;38;84,7328244274809;0;21;3;183,47991392269;506,487069781289;396000;13,3619468781047
Scenario10;39;92,0634920634921;0;21;2;178,749051987845;511,621921225316;376000;4,18787517913349
Scenario10;40;90,5109489051095;0;22;4;209,322850022918;453,611983266706;432000;6,69395905541557
