Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;FailedRawOrder3;FailedRawOrder2;FailedRawOrder1;OrdersS3;OrdersS2;OrdersS1;Costs;NumberBackOrdered;AvarageQInStock;AvarageLeadTime;OrderFillRate
78;NaN;17,0631079196117;17,959876058279;NaN;3,59297632346941;764,608175518727;593,41241551878;542,489323251905;37,41867919813;43,4809490731917;72,4029793491354;NaN;NaN;141,611461265889;672,864814464511;155,577213934876;0;1;0;0;29;29;441000;2,64105691811341;544,933531327392;176,171370385605;97,1014492753623
79;NaN;16,9858302190761;17,8104957144748;NaN;3,46365390732535;694,76666426509;606,137221841935;681,577514901934;41,8039572488384;46,7559201654978;72,8941692804035;NaN;NaN;206,448438653975;674,061245179389;157,523591456503;0;0;1;0;28;28;441000;2,41854537569224;533,349686294149;190,870359273649;96,3235294117647
80;NaN;16,95403596916;18,0131984073311;NaN;3,65862693930103;594,083466310184;668,028418238706;722,927386913718;35,6003321356451;42,8164899285184;77,9637708181205;NaN;NaN;153,218729995977;841,94676196081;156,644966146754;0;0;0;0;24;24;378000;0,435556983114051;594,3646824445;168,324958953651;97,3913043478261
81;NaN;16,8899715292209;17,9862400469707;NaN;3,49020910381885;642,066368226943;629,013302639631;601,646844432945;43,1477453707959;44,8770723706629;74,6685458279803;NaN;NaN;160,536051835299;499,962667603117;188,979438219166;0;0;5;0;29;29;456750;2,2560194761935;525,55650817994;188,632981702592;94,2857142857143
82;NaN;17,1333079985237;17,9576547552133;NaN;3,50762286764387;642,28802985568;652,497999243914;698,254145718559;37,1558913713771;44,2083001726617;72,7517633078816;NaN;NaN;140,188692128584;NaN;165,822268273527;0;1;1;0;28;28;441000;1,02032516981195;562,594861050001;163,556069596039;96,1538461538462
83;NaN;17,1980220917612;18,0259210389653;NaN;3,59845789559096;605,491712038393;683,081129285417;659,864037369489;43,4999609469938;46,9930589941438;74,9652139195486;NaN;NaN;192,806678699867;697,575456267546;162,193108144989;0;0;0;0;26;26;409500;1,11021939994057;539,596378752693;184,524262763626;96,7479674796748
84;NaN;16,9937987502768;17,8532380597052;NaN;3,50997079040907;646,548328564716;738,030672533456;691,734698505569;36,8762003989624;47,2191364387086;77,0192688288322;NaN;NaN;145,973555233079;NaN;180,319948128593;0;3;0;0;27;27;425250;0,463499912012135;587,61908255514;165,574002802538;97,7099236641221
85;NaN;17,0587698942534;17,9262146447036;NaN;3,50773307012059;696,644549264452;632,762125242618;658,488882652992;40,0551395259541;48,300069583056;75,3897579313305;NaN;NaN;180,43617062391;753,28604623752;175,903412089488;0;1;0;0;32;32;504000;5,00888740201418;500,380202610454;196,468398695464;92,7152317880795
86;NaN;16,9140819691018;17,8646101066737;NaN;3,61435418983456;604,750405491275;633,700021542394;667,657530093482;40,4958819029188;44,822984568309;74,9343660913751;NaN;NaN;214,988188094639;1052,87306798745;160,477838901495;0;3;1;0;27;27;425250;1,46830455110441;526,538283371452;192,406876802879;97,7099236641221
87;NaN;16,9752569893674;17,9398986993161;NaN;3,34959820493929;578,610532911551;593,675226714878;742,527867252506;38,047165644976;45,066319837028;73,8327112103191;NaN;NaN;179,067852672886;685,164968995275;168,027639247624;0;2;0;0;33;33;504000;5,76886034550796;566,164575991483;185,663544211795;94,8717948717949
88;NaN;17,0906553375138;17,9051100557933;NaN;3,68159547231127;662,442494759055;653,446445104447;622,612394661868;39,4594888944578;45,4938209741018;77,9685711107838;NaN;NaN;200,753900648686;NaN;174,328528538309;0;1;0;0;28;28;441000;1,14791981274026;574,368774243309;178,999227632621;96,969696969697
89;NaN;16,977119386114;17,9089257089235;NaN;3,45571367056935;605,817388086571;630,318068184676;655,035567456181;34,2489795729278;46,1839397678462;74,1273954184726;NaN;NaN;193,964798663715;611,591203843703;164,036443282823;0;0;1;0;31;31;472500;3,04901022687075;517,990263863692;187,902977689388;94,6308724832215
90;NaN;17,086682793491;18,1285254261262;NaN;3,41783207218583;669,462103194667;622,107490531972;611,51971133575;42,5612538593954;44,0714137128984;71,7466409791163;NaN;NaN;152,139753316311;905,724751931409;155,375622915676;0;3;2;0;31;30;487375;2,73919895184436;501,615607934829;167,769388208125;97,3333333333333
91;NaN;17,1181919105584;18,0180982686221;NaN;3,68506656805403;622,497855595364;673,87027300891;607,737310774487;38,6274916509033;45,8098863898259;73,5617697340632;NaN;NaN;178,848408593697;657,702600781082;169,022756069499;0;4;0;0;24;24;378000;0,720939291285394;538,376180897983;179,627729333001;98,2608695652174
92;NaN;16,8306975914469;18,088915670655;NaN;3,57220611618998;610,018045693535;625,031627300457;656,190719428042;39,5464499686556;42,5555586542136;76,3982670672704;NaN;NaN;168,110568522596;922,486594789065;160,144658335075;0;1;1;0;28;28;441000;4,98252857689244;536,854544763383;184,835219313206;96,2962962962963
93;NaN;17,1109235358704;17,9004867389247;NaN;3,58349696068326;644,549544918589;628,36666856583;619,856144890368;40,3536752409077;43,8017388518589;75,4512932341497;NaN;NaN;181,21689646955;984,585202412534;173,874228856464;0;2;0;0;30;30;472500;1,74970895754843;562,639837794536;187,692728866901;98,6206896551724
94;NaN;17,0489838444531;18,0069451114916;NaN;3,29547994585852;556,432689456868;676,114857338161;641,533291625414;38,1036942169469;42,4520912373053;74,2436345208338;NaN;NaN;191,985321226074;NaN;163,36294138685;0;2;0;0;29;29;456750;1,69139919694511;588,65524334909;174,000107312885;94,9275362318841
95;NaN;16,9379953101277;18,0044030132186;NaN;3,55262110349473;646,042653083727;572,323214903346;687,021990744242;41,9526277819713;47,1357460803352;78,1476393217842;NaN;NaN;152,069816526971;724,118695461067;158,559957353736;0;0;0;0;28;28;434000;1,45747349930648;549,268032467914;197,892366973237;99,2481203007519
96;NaN;16,8088092286854;17,9431251262625;NaN;3,43077803018521;599,555469828495;597,062188366655;628,159292352454;40,5253694835922;44,607885081528;77,5318400375545;NaN;NaN;181,133946102751;NaN;168,275105262385;0;7;0;0;26;26;409500;0,887653489233739;563,609881561022;169,472432226989;97,5609756097561
97;NaN;16,8718075497203;17,8927434423981;NaN;3,4678441412333;643,411146138902;669,221558609764;642,597677205453;39,3444978668621;46,6949935274449;72,6243309778357;NaN;NaN;188,484823944618;NaN;170,916702599519;0;2;0;0;27;27;425250;1,49719621375138;585,524805505228;175,367656384532;94,6153846153846
98;NaN;17,106249148016;17,9542580847932;NaN;3,5273322909821;654,76990677726;627,501180804069;602,498304735015;33,3989231757005;45,6335178832524;76,4395616595682;NaN;NaN;168,791588991031;589,510185853453;157,184557711265;0;0;0;0;28;28;441000;0,61789135199776;563,215003201631;175,169801847302;97,6923076923077
99;NaN;17,0600283578422;18,1210890143517;NaN;3,53599619843797;614,512454230953;671,090896222713;619,957299149121;39,7164339585496;44,3909262516536;76,290722125651;NaN;NaN;163,021421307351;604,413555682463;176,581768765403;0;3;0;0;21;21;322000;0,491380161590901;581,281854015245;174,780480203124;97,979797979798
100;NaN;17,0221362261412;17,9705881142603;NaN;3,48634392862208;619,984005211923;609,329046878762;579,039788398874;43,8415560181494;45,7362937565463;73,662530772486;NaN;NaN;144,587135438036;831,47858941146;169,99044265933;0;0;0;0;25;25;393750;4,5145891385084;588,551960495836;189,68364078986;95,8333333333333
