Replication;scarcity3;scarcity2;scarcity1;EnvironmentalDisasterChanceB;EnvironmentalDisasterChanceA;TimeToRepair2;TimeToRepair3;TimeToRepair1;CountBetweenFaillures3;CountBetweenFaillures2;CountBetweenFaillures1;DelayTimeB;TravelTime3;TravelTime2;DelayTimeA;TravelTime1;Costs;OrdersS3;OrdersS2;OrdersS1;AvarageQInStock;NumberBackordered;AvarageLeadTime;OrderFillRate
31;16,1005558145407;16,8898436276774;NaN;6,67431385206202;3,13368712570518;626,349140024809;707,6523203837;696,972732153206;39,2498995200731;45,4553872663886;75,4408438069125;675,801506244749;735,177613198762;179,741753537666;NaN;NaN;315000;26;5;0;452,431732635506;45,2205889361248;314,209646422833;68,8524590163934
32;15,9998932329717;16,9277885220945;NaN;6,23701795060188;3,4995641548303;699,857292950617;638,378126230123;576,31074571872;42,5480167926462;46,9618167000823;75,0798665504216;655,949845537781;787,479341880745;218,683675841347;NaN;NaN;468000;30;12;0;378,553589803163;62,2646131037284;311,942924059113;72,6190476190476
33;16,0348748445616;16,8769477380556;NaN;5,80784139748929;3,8316462431103;640,15845153846;592,872285693447;610,866691306934;40,1521683176016;47,6428151459326;71,5051246775547;701,186670380382;715,88098181009;148,021324689337;537,643530632055;NaN;297000;28;3;0;424,275955033317;35,0268011035451;318,034425817795;79,2
34;16,0184437507713;16,8701114653876;NaN;5,54316425456532;3,1942510378547;645,122382352352;648,238764033105;652,410511069475;42,6623252075579;44,9367093766789;75,2931266297431;750,922461327267;707,662468047759;102,498413639156;NaN;NaN;342000;28;5;0;415,913440937161;24,4818091261281;310,834755646713;75,187969924812
35;16,0337707349977;16,596385399811;NaN;5,84293042882173;2,45731504028663;627,703331118138;637,79925864362;592,642981227594;38,7791667188164;42,8831726224679;74,9860125549726;935,663862988106;704,707104689864;226,129789819442;NaN;NaN;261000;27;1;0;446,690696737486;20,0634756143513;329,230074584333;87,719298245614
36;15,9908312490525;16,6088148843497;NaN;4,99287272030833;4,14994115696754;669,451288679444;613,592570377377;646,589796301776;42,3733267291183;42,6045862890573;73,4515995979554;NaN;731,414746052566;161,649537604303;NaN;NaN;279000;27;2;0;474,529820119538;27,146629303412;317,222787930267;81,5126050420168
37;16,0534656502596;16,9701425478727;NaN;5,14316382464664;4,0014258753974;669,381811272217;586,248415760759;689,626602571825;38,9516900818174;46,4528066005558;71,235738774443;678,562242000984;740,138593700849;161,352485019543;NaN;NaN;342000;29;5;0;406,6685981486;24,8693621245328;298,891107197885;81,4814814814815
38;15,9408733510268;16,9879717330914;NaN;5,47336928622314;3,56030512601137;643,263727018449;644,529946997754;624,99170488676;36,2556711745759;46,3786384498235;79,099080922703;709,552721588949;713,533720192217;100,308673872007;NaN;NaN;351000;27;6;0;430,128969900055;22,4298484425799;289,081222808585;80,1470588235294
39;15,9783482609934;17,0658813280273;NaN;6,11588126036028;3,45261746586766;648,263661418912;625,555456357222;583,990069864451;42,6121037832841;45,0406930002814;72,8796897152206;769,032802040534;705,191177478664;215,35508774081;NaN;NaN;378000;30;6;0;375,545242937722;34,3708725800152;327,81976746746;81,7567567567568
40;16,0568307423571;17,3111166925436;NaN;6,07840553974664;4,13798540285788;621,303203677906;640,289163728442;764,823773910447;39,4333043206355;42,915037277271;74,0954477836688;836,882709653937;726,589482532279;223,88308682824;NaN;NaN;333000;27;5;0;399,782881369097;13,5045070212403;317,554294120018;78,125
41;16,0073027007812;16,6701847183285;NaN;6,7144035684344;3,97166576539166;567,21308719043;641,219728556763;623,372767312445;39,5621343669963;43,5614590929721;71,1429202065215;NaN;750,186315761955;277,052848378731;NaN;NaN;306000;28;3;0;410,212470478532;15,0568783295701;319,650556855154;88
42;16,0146884051946;17,1927983925678;NaN;6,34738115414425;3,98520314681809;749,625518846546;661,255165434796;700,239215186905;40,3262770674857;44,5534739200026;72,9704803469787;776,401309170462;672,700408929151;174,854918370946;NaN;NaN;270000;27;2;0;428,370944594433;18,6947336727658;312,232305445874;77,9661016949153
43;15,9948060895614;16,9028665626641;NaN;5,74930069801797;3,75959868030623;615,244172567415;654,343676391477;645,321731503362;40,7461638100046;44,5102894787366;77,1087310044095;1060,38572169404;684,597777485682;174,665518178544;NaN;NaN;360000;28;6;0;413,493660011064;36,5710712822681;312,687558225298;76,7605633802817
